system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching C:\Users\Andrew\Desktop\AI Svn\andrew auclair\steering_week2\
display  D   display_settings.c:357  _al_score_display_settings       [   0.02860] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02862] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02863] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02864] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02866] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02867] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02869] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02870] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02871] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02873] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02874] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02876] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02877] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02878] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02880] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02881] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02883] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02885] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02886] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02887] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02889] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02890] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02892] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02893] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02894] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02896] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02897] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02899] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02900] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02902] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02903] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02904] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02906] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02907] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02909] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02910] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02911] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02913] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02914] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02915] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02917] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02918] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02920] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02921] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02922] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02924] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02925] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02926] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02928] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02929] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02933] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02934] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02936] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02937] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02938] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02939] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02941] Score is : 587
