system   D            wsystem.c:583  maybe_parent_dir                 [   0.00051] Also searching C:\Users\Jack\Development\EGPAI\Playground\Storm\Diablo2\editor\
display  D   display_settings.c:191  debug_display_settings           [   0.13743] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13744] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.13744] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13745] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.13746] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13747] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13748] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13749] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13749] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13750] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.13751] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13752] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.13752] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13753] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.13754] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13755] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.13756] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13756] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.13757] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13758] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.13759] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13760] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.13760] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13761] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13762] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13763] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13764] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13765] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13765] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13766] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13767] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13768] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13769] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13770] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13770] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13771] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13772] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13773] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13774] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13775] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13775] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13776] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13777] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13778] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13779] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13780] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13780] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13781] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13782] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13783] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13784] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13784] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13785] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13786] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13787] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13788] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13789] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13789] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13790] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13791] Single Buffer requirement not met.
